,Пол,Возраст,Зарплата,Члены семьи,Страховые выплаты
0,1,41.0,49600.0,1,0
1,0,46.0,38000.0,1,1
2,0,29.0,21000.0,0,0
3,0,21.0,41700.0,2,0
4,1,28.0,26100.0,0,0
5,1,43.0,41000.0,2,1
6,1,39.0,39700.0,2,0
7,1,25.0,38600.0,4,0
8,1,36.0,49700.0,1,0
9,1,32.0,51700.0,1,0
10,1,25.0,36600.0,1,0
11,1,38.0,29300.0,0,0
12,0,23.0,39500.0,3,0
13,0,21.0,55000.0,0,0
14,0,40.0,43700.0,1,0
15,1,34.0,23300.0,0,0
16,1,26.0,48900.0,2,0
17,1,41.0,33200.0,2,0
18,1,42.0,49700.0,0,1
19,1,27.0,36900.0,0,0
20,1,38.0,43500.0,1,0
21,1,36.0,36100.0,1,0
22,0,41.0,26600.0,0,0
23,0,33.0,48700.0,2,0
24,0,21.0,40400.0,3,0
25,1,47.0,38400.0,3,1
26,1,25.0,34600.0,1,0
27,1,30.0,34800.0,1,0
28,1,19.0,36800.0,0,0
29,0,21.0,42200.0,2,0
30,0,25.0,46300.0,0,0
31,1,40.0,30300.0,0,0
32,1,30.0,51000.0,2,0
33,0,31.0,28100.0,0,0
34,0,19.0,64800.0,2,0
35,1,27.0,30400.0,0,0
36,1,22.0,45300.0,2,0
37,0,27.0,38300.0,0,0
38,1,31.0,49500.0,1,0
39,1,33.0,19400.0,1,0
40,1,42.0,40200.0,0,1
41,1,39.0,31700.0,1,0
42,1,42.0,69200.0,0,1
43,0,20.0,33100.0,1,0
44,0,30.0,31600.0,2,0
45,0,24.0,30400.0,1,0
46,0,26.0,34500.0,1,0
47,0,42.0,38700.0,1,1
48,1,25.0,33100.0,1,0
49,0,28.0,36600.0,1,0
50,1,28.0,39600.0,0,0
51,0,30.0,38600.0,2,0
52,1,29.0,42400.0,0,0
53,1,34.0,34600.0,0,0
54,1,42.0,28100.0,2,0
55,0,46.0,34900.0,1,1
56,0,19.0,30500.0,0,0
57,0,31.0,48900.0,0,0
58,1,20.0,24200.0,3,0
59,1,30.0,49900.0,1,0
60,0,28.0,14300.0,1,0
61,0,38.0,47000.0,1,0
62,1,23.0,44800.0,1,0
63,0,32.0,43800.0,1,0
64,0,27.0,42700.0,3,0
65,1,18.0,35400.0,2,0
66,1,43.0,57200.0,4,1
67,1,37.0,29600.0,2,0
68,1,20.0,37400.0,2,0
69,1,39.0,48100.0,1,0
70,1,42.0,33700.0,1,1
71,0,40.0,61800.0,1,0
72,0,40.0,39400.0,1,0
73,1,32.0,15600.0,2,0
74,1,24.0,47000.0,3,0
75,0,48.0,49500.0,0,1
76,0,37.0,52600.0,0,0
77,1,40.0,37600.0,2,0
78,0,43.0,34900.0,0,1
79,1,29.0,52500.0,3,0
80,1,41.0,32700.000000000004,0,0
81,1,29.0,51600.0,1,0
82,0,31.0,37400.0,2,0
83,1,37.0,60900.0,2,0
84,0,26.0,41800.0,1,0
85,0,25.0,47400.0,2,0
86,0,45.0,26500.0,2,1
87,0,28.0,45900.0,0,0
88,1,24.0,33100.0,1,0
89,0,44.0,45300.0,0,1
90,1,23.0,35700.0,2,0
91,1,36.0,34300.0,2,0
92,1,25.0,26700.0,1,0
93,1,20.0,25700.0,4,0
94,0,32.0,33300.0,0,0
95,1,52.0,31100.0,0,2
96,0,23.0,43700.0,0,0
97,1,23.0,31500.0,1,0
98,1,38.0,33100.0,1,0
99,0,37.0,42100.0,2,0
100,0,19.0,37300.0,1,0
101,0,49.0,42500.0,1,2
102,1,43.0,27300.0,0,1
103,0,27.0,46800.0,2,0
104,0,24.0,33500.0,1,0
105,1,35.0,44300.0,0,0
106,1,45.0,41600.0,2,1
107,1,24.0,53900.0,2,0
108,1,39.0,40100.0,2,0
109,1,20.0,44600.0,1,0
110,1,39.0,36600.0,1,0
111,0,30.0,45900.0,2,0
112,1,25.0,45000.0,1,0
113,0,25.0,32000.0,0,0
114,0,40.0,38200.0,3,0
115,1,23.0,33000.0,1,0
116,1,28.0,38500.0,0,0
117,1,52.0,32000.0,0,2
118,1,27.0,51800.0,0,0
119,0,22.0,33800.0,1,0
120,1,24.0,46400.0,2,0
