,platform,sales_year,genre,online,offline,critic_score,user_score,rating,game_id
0,PS3,2017.0,Action,702.0,909.0,97.0,8.2,M,20838
1,X360,2017.0,Action,966.0,514.0,97.0,8.1,M,48673
2,X360,2017.0,Shooter,904.0,424.0,88.0,3.4,M,17801
3,PS4,2015.0,Shooter,603.0,586.0,,,,12200
4,3DS,2017.0,Role-Playing,528.0,419.00000000000006,,,,11432
5,PS3,2018.0,Shooter,499.0,573.0,83.0,5.3,M,28109
6,X360,2018.0,Shooter,825.0,424.0,83.0,4.8,M,43830
7,PS3,2017.0,Shooter,554.0,573.0,88.0,3.2,M,36993
8,3DS,2017.0,Racing,503.0,402.0,85.0,8.2,E,34813
9,PS4,2018.0,Action,396.0,631.0,97.0,8.3,M,28618
10,3DS,2018.0,Role-Playing,435.0,349.0,,,,32194
11,3DS,2017.0,Platform,489.0,300.0,90.0,8.4,E,20161
12,X360,2017.0,Shooter,673.0,256.0,73.0,2.6,M,10700
13,Wii,2017.0,Misc,595.0,311.0,74.0,7.8,E10+,45608
14,3DS,2018.0,Platform,366.0,314.0,78.0,7.2,E,24842
15,X360,2018.0,Shooter,665.0,228.0,87.0,7,M,39190
16,PS3,2017.0,Shooter,410.0,363.0,71.0,2.6,M,48191
17,X360,2017.0,Misc,570.0,265.0,,,,19166
18,3DS,2018.0,Simulation,203.0,236.0,88.0,8.7,E,12080
19,X360,2017.0,Role-Playing,505.0,279.0,96.0,8.4,M,29673
20,PS4,2015.0,Sports,112.0,612.0,82.0,4.3,E,43562
21,PS3,2018.0,Action,106.0,501.0,88.0,6.6,E,22721
22,DS,2018.0,Role-Playing,279.0,172.0,,,,19252
23,PS4,2015.0,Shooter,299.0,349.0,,,,21164
24,PS4,2018.0,Shooter,281.0,348.0,83.0,5.7,M,46648
25,PS4,2016.0,Sports,66.0,575.0,85.0,5,E,11417
26,3DS,2018.0,Fighting,327.0,137.0,,,,12550
27,XOne,2015.0,Shooter,459.0,211.0,,,,18185
28,X360,2017.0,Shooter,446.0,211.0,84.0,7.4,M,18454
29,PS3,2017.0,Shooter,285.0,289.0,85.0,7.5,M,40715
30,PS4,2015.0,Role-Playing,253.0,327.0,87.0,6.5,M,30453
31,3DS,2016.0,Role-Playing,298.0,145.0,,,,12237
32,WiiU,2018.0,Racing,315.0,215.0,88.0,9.1,E,24993
33,Wii,2018.0,Misc,405.0,216.0,74.0,7.3,E10+,36875
34,PS3,2017.0,Action,277.0,275.0,92.0,8.3,T,48975
35,PS3,2017.0,Sports,84.0,430.0,,,,11760
36,PS3,2017.0,Sports,78.0,424.0,86.0,4.3,E,13587
37,PS3,2018.0,Action,264.0,252.0,85.0,6.9,M,24502
38,PS3,2017.0,Role-Playing,255.0,260.0,92.0,6.4,M,26611
39,X360,2017.0,Shooter,405.0,159.0,91.0,7.8,M,41786
40,PS4,2018.0,Sports,80.0,433.0,82.0,5.7,E,34903
41,PS3,2017.0,Action,241.0,218.00000000000003,95.0,9.1,M,12655
42,PS4,2018.0,Shooter,249.00000000000003,207.0,76.0,6.1,T,18752
43,PS3,2017.0,Action,271.0,185.0,96.0,8.6,T,15043
44,XOne,2018.0,Action,281.0,219.0,97.0,7.9,M,39055
