,calls,minutes,messages,mb_used,is_ultra
0,40.0,311.89999999999986,83.0,19915.42,0
1,85.0,516.75,56.0,22696.96,0
2,77.0,467.66000000000014,86.0,21060.45,0
3,106.0,745.53,81.0,8437.39,1
4,66.0,418.74,1.0,14502.750000000002,0
5,58.0,344.56,21.0,15823.370000000004,0
6,57.0,431.64000000000016,20.0,3738.900000000001,1
7,15.0,132.4,6.0,21911.6,0
8,7.0,43.39,3.0,2538.67,1
9,90.0,665.4100000000002,38.0,17358.61,0
10,82.0,560.5099999999999,20.0,9619.530000000002,1
11,45.0,344.32,13.0,19898.81,0
12,51.0,437.1299999999998,61.0,21523.580000000005,0
13,56.0,433.0699999999998,16.0,16702.360000000004,0
14,108.0,587.9000000000002,0.0,14406.500000000002,1
15,6.0,22.13,0.0,2710.09,0
16,2.0,18.73,0.0,588.89,0
17,26.0,163.62000000000003,4.0,16870.340000000004,0
18,79.0,532.62,90.0,19908.31,0
19,49.0,341.6699999999999,81.0,11770.28,1
20,93.0,691.37,31.0,25950.28,1
21,56.0,411.46,97.0,15393.909999999998,0
22,48.0,351.6,66.0,16469.9,1
23,11.0,96.04999999999998,19.0,2305.74,0
24,56.0,360.3,30.0,13560.15,0
25,53.0,356.22,52.0,22471.769999999986,0
26,81.0,624.71,38.0,8644.660000000002,1
27,154.0,1078.64,48.0,29335.15,1
28,37.0,286.67999999999995,44.0,19542.45,0
29,50.0,358.0100000000001,44.0,9998.83,1
30,41.0,276.80999999999995,0.0,19815.62,0
31,10.0,77.09,31.0,643.15,0
32,71.0,530.13,27.0,20698.51,0
33,65.0,482.35,7.0,23064.58,1
34,110.0,776.8499999999998,9.0,20790.93,1
35,120.0,814.8500000000003,0.0,20427.000000000004,1
36,76.0,543.1799999999998,43.0,31845.109999999993,1
37,64.0,422.6899999999998,0.0,11460.29,0
38,23.0,146.18,33.0,9711.45,0
39,81.0,519.48,34.0,12750.820000000005,0
40,34.0,183.28,0.0,18631.660000000003,0
41,11.0,85.31,7.0,10764.82,1
42,48.0,392.04,0.0,19122.13,0
43,50.0,323.9899999999999,10.0,20922.050000000007,1
44,98.0,665.5599999999997,106.0,19538.83,0
45,35.0,235.58,97.0,20710.709999999995,0
46,76.0,535.9099999999999,65.0,11968.22,0
47,49.0,327.4500000000001,0.0,12049.91,1
48,5.0,49.95,17.0,3370.69,1
49,58.0,474.92000000000013,11.0,17858.589999999993,0
50,70.0,532.1000000000001,29.0,12403.260000000002,0
51,124.0,842.3999999999999,75.0,21544.339999999997,1
52,129.0,929.2300000000004,0.0,22508.960000000006,1
53,67.0,421.27000000000015,33.0,14865.739999999998,1
54,0.0,0.0,33.0,14010.329999999998,1
55,13.0,106.03,16.0,37328.45,1
56,68.0,449.29000000000013,47.0,18171.2,0
57,91.0,585.09,49.0,27339.85000000001,1
58,77.0,477.5399999999997,0.0,19090.740000000005,1
59,51.0,356.39000000000016,33.0,20456.97,0
60,121.0,853.01,64.0,26605.93999999999,1
61,114.0,823.5799999999998,144.0,30323.430000000004,1
62,93.0,622.6600000000002,0.0,20894.560000000005,1
63,125.0,814.5299999999999,61.0,16917.439999999995,1
64,67.0,390.62000000000006,99.0,12991.390000000005,0
65,98.0,677.18,46.0,16285.669999999998,0
66,80.0,556.3600000000001,64.0,24049.459999999995,0
67,33.0,238.7,24.0,9308.63,1
68,138.0,1009.11,64.0,27807.13,1
69,84.0,607.05,22.0,24875.02999999999,0
70,77.0,546.1999999999998,55.0,11457.440000000002,0
71,78.0,510.34000000000015,7.0,21765.5,0
72,69.0,477.5299999999999,7.0,21437.28999999998,0
73,58.0,392.14,8.0,22525.18,0
74,63.0,427.64000000000016,93.0,19541.170000000006,0
75,72.0,531.8000000000002,0.0,11299.6,0
76,73.0,633.2199999999998,21.0,18421.17,0
77,1.0,1.0,153.0,22753.12000000001,1
78,73.0,562.27,11.0,17589.079999999994,0
79,43.0,303.5100000000001,37.0,15063.409999999994,0
80,118.0,843.2999999999997,69.0,28992.12,1
81,74.0,504.05,0.0,19154.16,0
82,76.0,593.5899999999998,18.0,15192.37,0
83,83.0,609.7000000000003,78.0,16715.680000000004,0
84,56.0,397.14,42.0,8449.530000000002,0
85,90.0,633.1100000000002,61.0,21561.54,0
86,141.0,1069.2099999999996,0.0,24091.360000000004,1
87,51.0,326.3400000000001,82.0,29084.42,1
88,48.0,331.33,0.0,8000.3600000000015,0
89,69.0,525.6700000000002,27.0,20939.11,1
90,117.0,862.3399999999998,0.0,7929.83,1
91,54.0,416.22000000000014,0.0,19871.44999999999,0
92,33.0,238.08,62.0,8470.33,0
93,70.0,527.63,40.0,21441.459999999992,0
94,78.0,603.91,64.0,18962.499999999996,0
95,101.0,666.9,57.0,16777.760000000002,1
96,29.0,267.55000000000007,29.0,16996.829999999994,0
97,83.0,538.8300000000002,60.0,13721.94,0
98,67.0,454.43,31.0,19776.5,0
99,66.0,434.59,17.0,9613.390000000003,0
100,3.0,40.24,0.0,1392.19,0
101,107.0,804.97,66.0,17935.910000000003,0
102,73.0,509.98,58.0,19427.620000000006,0
103,74.0,540.8099999999998,17.0,20075.649999999994,0
104,84.0,566.4200000000002,0.0,39307.059999999976,1
105,29.0,226.01,20.0,12615.69,0
106,55.0,354.8400000000001,48.0,13662.740000000005,0
107,65.0,515.26,7.0,22801.74,0
108,47.0,300.12,123.0,31244.61,1
109,35.0,256.82,0.0,9545.0,1
110,83.0,635.4499999999998,0.0,17498.530000000002,1
111,53.0,386.8199999999998,3.0,22792.999999999985,0
112,68.0,482.78,26.0,8620.510000000002,0
113,49.0,323.15,11.0,22846.550000000007,0
114,158.0,1078.86,51.0,30681.140000000007,1
115,81.0,633.0199999999999,109.0,12617.750000000002,0
116,87.0,626.6199999999999,0.0,20718.430000000008,0
117,80.0,588.57,47.0,9863.23,0
118,28.0,215.41,0.0,6045.1500000000015,0
119,40.0,258.2,20.0,13804.51,0
120,59.0,468.88,48.0,16251.490000000005,0
121,59.0,411.9,5.0,18418.159999999996,0
122,55.0,443.08999999999986,49.0,17435.97,0
123,52.0,354.91,8.0,14602.26,0
124,72.0,520.2099999999998,39.0,14184.420000000006,0
125,6.0,36.45,7.0,4617.1,0
126,129.0,848.8599999999997,0.0,13866.31,1
127,68.0,444.41000000000014,35.0,26460.37,1
128,44.0,359.39,43.0,15583.93,0
129,17.0,110.29,5.0,1009.95,0
130,111.0,784.4700000000003,97.0,28260.109999999986,1
131,82.0,679.5500000000002,0.0,8647.950000000003,0
132,52.0,378.64,51.0,12442.04,0
133,109.0,704.2999999999997,79.0,10603.12,0
134,79.0,465.7900000000001,78.0,33114.23,1
135,68.0,486.09,40.0,7357.66,1
136,85.0,464.24,9.0,18225.93,0
137,14.0,122.87,22.0,3370.13,0
138,92.0,627.5200000000002,52.0,39597.610000000015,1
139,106.0,839.3100000000002,0.0,13269.800000000005,0
140,94.0,647.46,57.0,17271.530000000002,0
141,65.0,462.11000000000007,12.0,18704.860000000008,0
142,46.0,336.6300000000001,34.0,16164.600000000002,0
143,133.0,999.74,182.0,18198.53,1
144,53.0,340.04,38.0,15779.549999999996,0
145,75.0,520.7,0.0,24596.119999999995,0
146,64.0,521.3000000000002,29.0,19315.390000000007,0
147,81.0,627.5599999999997,37.0,18603.43,0
148,38.0,268.76000000000005,0.0,27833.64000000001,1
149,74.0,455.7299999999999,99.0,21694.919999999987,0
150,92.0,661.27,66.0,19913.219999999994,0
151,63.0,439.38000000000005,8.0,17706.589999999997,0
152,60.0,414.8,0.0,14945.34,0
153,72.0,457.21000000000015,0.0,13976.580000000005,0
154,58.0,359.26999999999987,36.0,12492.36,0
155,100.0,657.35,0.0,23039.76,1
156,33.0,228.98,12.0,18113.83,0
157,31.0,198.94000000000003,19.0,5877.080000000001,0
158,64.0,454.63,126.0,17103.589999999997,1
159,125.0,892.3900000000003,59.0,11741.360000000002,1
160,61.0,495.11000000000007,8.0,10891.23,0
161,58.0,394.15,48.0,15605.440000000002,0
162,58.0,452.1399999999999,57.0,14568.929999999995,1
163,89.0,618.87,57.0,22924.75999999999,0
164,72.0,507.52000000000015,38.0,3179.4999999999995,1
165,77.0,581.0600000000002,16.0,20897.189999999995,0
166,74.0,555.2899999999998,22.0,21238.25,0
167,72.0,480.32,102.0,21924.63,0
168,50.0,366.78,14.0,18151.860000000008,0
169,76.0,633.0100000000001,22.0,17689.05,0
170,27.0,179.47,82.0,19631.629999999994,0
171,196.0,1279.7500000000011,133.0,26927.87000000001,1
172,37.0,229.15000000000006,110.0,2000.51,0
173,64.0,403.50999999999993,54.0,19127.250000000004,0
174,65.0,442.64999999999986,72.0,32950.359999999986,1
175,65.0,429.96000000000015,103.0,16508.74,0
176,65.0,424.16,23.0,11043.53,0
177,110.0,801.6199999999997,37.0,5426.56,1
178,38.0,205.60000000000005,22.0,7972.120000000003,0
179,24.0,141.63,26.0,8616.960000000003,0
180,99.0,634.32,43.0,16436.320000000007,0
181,75.0,487.72000000000014,60.0,25759.169999999995,0
182,62.0,544.2499999999999,29.0,10049.81,0
183,162.0,993.11,106.0,20211.2,1
184,73.0,576.62,42.0,7865.58,0
185,53.0,368.86,54.0,22512.57999999999,0
186,28.0,152.9,108.0,19726.18,0
187,116.0,745.3999999999997,66.0,26154.33,0
188,76.0,504.86999999999983,30.0,16845.7,0
189,40.0,311.7899999999999,24.0,9883.54,0
190,109.0,784.5500000000002,0.0,38102.20000000002,1
191,62.0,456.8799999999998,42.0,23639.099999999984,0
192,123.0,810.6700000000002,12.0,36684.48999999998,1
193,18.0,101.35,34.0,13049.180000000002,0
194,21.0,145.88000000000005,39.0,7084.12,0
195,125.0,874.85,22.0,20647.82,1
196,64.0,484.52000000000015,92.0,22217.14999999999,0
197,12.0,107.25,5.0,2016.72,0
198,2.0,6.42,133.0,26247.41000000001,1
199,86.0,591.06,73.0,11309.140000000005,0
200,40.0,271.41,20.0,17284.450000000004,0
201,33.0,259.06999999999994,60.0,17204.030000000002,0
202,92.0,632.45,22.0,20221.48,1
203,31.0,213.77,0.0,16656.539999999994,0
204,32.0,191.44,13.0,8557.660000000002,0
205,95.0,672.7799999999999,15.0,3315.76,1
206,51.0,385.45,81.0,13649.65,0
207,39.0,257.93,15.0,6572.6100000000015,0
208,23.0,99.20000000000002,21.0,17001.870000000006,0
209,65.0,459.14,10.0,21739.82,0
210,30.0,216.99,58.0,13507.58,0
211,83.0,631.1499999999999,0.0,18985.0,0
212,25.0,190.95,37.0,14253.530000000004,0
213,25.0,191.06,11.0,8022.790000000003,0
214,48.0,346.19000000000005,103.0,27346.62000000001,1
215,35.0,267.67,25.0,18231.83,0
216,66.0,493.57000000000005,91.0,18527.959999999992,0
217,57.0,373.00999999999993,0.0,13759.77,0
218,62.0,365.45999999999987,113.0,34224.570000000014,1
219,87.0,531.47,6.0,12498.45,0
220,63.0,487.13999999999993,103.0,17265.059999999994,0
221,98.0,729.8299999999998,105.0,18675.65,1
222,28.0,176.98000000000005,0.0,17970.04,0
223,110.0,881.0599999999997,72.0,11441.180000000002,0
224,71.0,527.6599999999999,21.0,10541.220000000003,0
225,17.0,153.0,48.0,4894.5999999999985,1
226,54.0,418.34,85.0,15291.949999999995,0
227,111.0,717.1600000000002,191.0,38287.82,1
228,93.0,620.0300000000002,32.0,18175.55,0
229,23.0,140.59000000000003,23.0,19201.75,0
230,36.0,267.58,13.0,12737.080000000005,0
231,64.0,431.9499999999999,24.0,28294.61999999999,0
232,42.0,260.94,79.0,17519.929999999997,1
233,57.0,412.38000000000017,50.0,15988.969999999998,0
234,85.0,568.7199999999998,0.0,18009.33,0
235,76.0,513.55,50.0,14584.730000000005,1
236,48.0,336.38,14.0,21902.41,0
237,56.0,469.48999999999984,145.0,15877.649999999998,1
238,113.0,731.7800000000002,15.0,32645.76,1
239,9.0,65.65,11.0,1845.76,0
240,3.0,20.83,41.0,16736.310000000005,0
241,5.0,27.01,0.0,2207.2700000000004,0
242,183.0,1247.0400000000004,150.0,29186.41,1
243,121.0,765.6099999999999,53.0,21445.050000000007,1
244,156.0,1058.2199999999998,59.0,18932.66,1
245,65.0,471.51999999999987,7.0,15415.810000000005,0
246,15.0,107.45,49.0,35656.3,1
247,0.0,0.0,35.0,16444.989999999998,1
248,127.0,748.44,0.0,19369.14999999999,0
249,47.0,340.53,57.0,12615.160000000002,0
250,68.0,492.75,22.0,20559.09,0
251,84.0,520.6099999999999,58.0,19323.419999999995,0
252,50.0,308.48000000000013,51.0,21387.26,0
253,106.0,802.98,171.0,12136.63,1
254,72.0,478.48999999999984,0.0,19817.84,0
255,40.0,225.89,12.0,13581.940000000004,0
256,38.0,268.84000000000003,9.0,13197.15,0
257,23.0,188.32,62.0,21707.03,1
258,86.0,589.4299999999997,9.0,21046.69,0
259,96.0,709.88,176.0,33321.88,1
260,117.0,832.7800000000002,52.0,2949.68,1
261,58.0,414.18,27.0,23854.759999999995,0
262,52.0,365.85,91.0,16879.69,1
263,68.0,466.21,48.0,15896.270000000004,0
264,0.0,0.0,21.0,19559.55,0
265,60.0,442.02,16.0,18306.45,1
266,15.0,115.74,8.0,2346.7,0
267,52.0,371.85999999999984,21.0,30388.519999999986,0
268,95.0,705.7899999999997,68.0,35108.249999999985,0
269,47.0,324.7999999999999,75.0,14003.65,1
270,59.0,441.89000000000016,5.0,25106.39,1
271,62.0,509.3799999999998,40.0,21096.529999999988,1
272,69.0,564.01,26.0,15656.78,0
273,81.0,541.46,48.0,21839.61999999999,0
274,60.0,442.36,0.0,16446.230000000003,0
275,46.0,344.02,35.0,20693.459999999992,0
276,56.0,388.0600000000002,59.0,16033.760000000006,0
277,72.0,493.9300000000002,36.0,16599.52,0
278,38.0,304.05,0.0,14252.15,1
279,31.0,234.2,99.0,25545.469999999994,0
280,68.0,413.19999999999993,29.0,13526.610000000002,1
281,58.0,373.49,50.0,13561.88,0
282,2.0,5.61,27.0,2866.41,1
283,40.0,334.50000000000006,0.0,21505.559999999994,0
284,32.0,284.33,30.0,11559.500000000002,0
285,16.0,93.79,103.0,19428.22,1
286,45.0,314.63999999999993,14.0,7332.790000000003,0
287,4.0,19.33,7.0,3431.0199999999995,1
288,78.0,494.84,28.0,17029.770000000004,0
289,43.0,299.87,76.0,15787.74,1
290,69.0,427.53,56.0,16205.780000000002,1
291,123.0,873.57,71.0,4153.55,1
292,86.0,567.5799999999998,47.0,16861.08,1
293,9.0,83.22999999999998,0.0,14571.79,1
294,69.0,512.4599999999998,6.0,20024.919999999995,0
295,76.0,544.5300000000002,0.0,13389.350000000002,0
296,107.0,831.3699999999994,3.0,28836.52999999999,0
297,85.0,490.25000000000017,57.0,16663.029999999995,0
298,127.0,773.59,21.0,18982.5,1
299,43.0,235.81,43.0,23859.259999999995,1
300,54.0,344.25999999999993,52.0,9501.030000000002,0
301,62.0,404.81,78.0,16948.05,0
302,89.0,596.72,0.0,16321.469999999998,1
303,68.0,387.04999999999984,73.0,17147.510000000002,0
304,90.0,707.16,50.0,19860.99,1
305,57.0,347.66,16.0,22003.75,0
306,36.0,250.88,49.0,18965.020000000008,0
307,54.0,312.85,10.0,7798.270000000002,0
308,28.0,206.12000000000003,118.0,22591.449999999993,1
309,102.0,700.76,0.0,8674.590000000002,1
310,71.0,593.7900000000002,64.0,7543.67,0
311,87.0,619.6800000000002,26.0,21650.13000000001,0
312,97.0,733.11,63.0,13156.810000000005,0
313,15.0,104.41,17.0,4677.85,1
314,14.0,79.26,32.0,8246.639999999998,0
315,87.0,593.3,17.0,17416.760000000002,0
316,67.0,502.94000000000005,37.0,17033.1,1
317,56.0,420.20000000000016,40.0,14418.04,0
318,96.0,639.48,33.0,21557.059999999994,0
319,89.0,648.8300000000003,27.0,20315.4,0
320,83.0,594.1,52.0,19667.05,0
321,38.0,237.78,5.0,4905.5,0
322,111.0,745.0000000000003,132.0,21100.460000000006,1
323,68.0,444.1,0.0,19352.930000000004,0
324,24.0,170.06,28.0,17305.610000000004,0
325,30.0,175.95,13.0,12521.55,0
326,85.0,608.89,84.0,30357.439999999995,1
327,83.0,597.15,19.0,22407.69,0
328,69.0,442.95999999999987,99.0,26423.47999999999,0
329,52.0,399.87000000000006,81.0,14055.95,1
330,52.0,423.56000000000006,118.0,14503.800000000005,1
331,13.0,104.03000000000002,2.0,7350.169999999999,0
332,69.0,404.9,51.0,16805.649999999998,0
333,93.0,687.92,78.0,16290.940000000002,0
334,80.0,569.4700000000003,14.0,36524.039999999986,0
335,60.0,458.8299999999999,51.0,11706.319999999998,0
336,11.0,70.49999999999999,0.0,2042.74,0
337,57.0,415.75000000000006,66.0,10105.48,0
338,55.0,363.71000000000015,31.0,16303.01,0
339,108.0,676.2900000000002,71.0,18193.56,0
340,52.0,305.6400000000001,67.0,15329.36,0
341,108.0,728.6800000000003,4.0,14340.84,1
342,23.0,145.75,21.0,11655.67,0
343,78.0,477.0699999999998,0.0,17862.300000000007,1
344,65.0,450.61999999999983,50.0,25264.00999999999,0
345,79.0,469.68,16.0,20221.06,0
346,54.0,394.52,59.0,16207.41,0
347,24.0,151.72,23.0,5957.73,0
348,77.0,522.6500000000002,14.0,19462.45,0
349,56.0,418.4,39.0,25111.529999999995,0
350,65.0,423.05999999999983,40.0,18625.970000000005,0
351,0.0,0.0,8.0,35525.61,1
352,33.0,191.56,18.0,25160.61999999999,0
353,68.0,493.00000000000017,29.0,20021.73,0
354,39.0,258.0199999999999,0.0,19998.8,0
355,29.0,203.9,0.0,39969.139999999985,1
356,1.0,11.54,111.0,32758.53,1
357,39.0,221.18,59.0,17865.229999999992,0
358,63.0,384.99,66.0,18007.589999999997,0
359,58.0,383.34,5.0,8434.199999999999,0
360,81.0,566.1,0.0,23426.079999999994,0
361,72.0,497.92999999999984,46.0,12651.410000000002,0
362,46.0,272.85,40.0,19628.840000000004,0
363,110.0,714.1600000000002,2.0,35136.05999999998,0
364,45.0,358.33,36.0,15723.080000000002,1
365,20.0,131.97,23.0,26720.16999999999,1
366,64.0,353.84999999999985,36.0,17413.749999999996,0
367,61.0,342.96,21.0,16578.27,0
368,31.0,185.63,101.0,14344.72,0
369,59.0,338.24999999999994,18.0,18220.57,0
370,63.0,427.6499999999999,96.0,25048.13,0
371,104.0,701.8199999999997,91.0,8003.980000000002,0
372,100.0,626.94,43.0,22690.35000000001,1
373,106.0,796.4099999999995,1.0,9969.67,1
374,64.0,473.11,0.0,20822.070000000003,0
375,81.0,533.3399999999998,0.0,8609.950000000003,0
376,51.0,326.4399999999998,16.0,14514.98,0
377,56.0,390.22,40.0,19645.63,0
378,65.0,483.74,30.0,17996.600000000002,0
379,51.0,426.24,112.0,5661.23,0
380,31.0,246.32,95.0,9659.38,1
381,82.0,521.66,30.0,13396.91,1
382,144.0,906.18,0.0,25002.44,1
383,49.0,237.73,52.0,15761.94,0
384,108.0,729.07,55.0,16094.82,0
385,86.0,702.31,32.0,22376.36,0
386,19.0,147.72000000000003,20.0,19476.829999999994,0
387,39.0,284.06,47.0,10678.960000000003,0
388,64.0,453.42000000000013,41.0,11830.26,0
389,118.0,908.6099999999997,54.0,29678.6,1
390,0.0,0.0,25.0,19088.67,1
391,40.0,238.61999999999992,16.0,24437.02,0
392,55.0,413.69,39.0,14360.590000000002,0
393,99.0,685.9799999999998,51.0,18531.71,1
394,132.0,932.68,65.0,29263.63999999999,1
395,131.0,828.18,89.0,19368.52,1
396,55.0,348.0200000000001,46.0,16121.99,0
397,80.0,547.0100000000001,54.0,21265.57,0
398,85.0,527.02,4.0,14368.420000000006,0
399,32.0,235.03000000000003,16.0,18587.39,0
400,40.0,321.55,23.0,13138.649999999998,0
401,49.0,310.8300000000001,0.0,19977.68,0
402,64.0,544.9499999999998,30.0,17090.92,0
403,40.0,285.76999999999987,6.0,19721.429999999997,0
404,30.0,169.01999999999995,13.0,16626.530000000006,0
405,73.0,545.1699999999998,71.0,21193.03999999998,0
406,89.0,580.69,0.0,19640.23,0
407,59.0,433.05,37.0,24465.89999999999,0
408,86.0,583.98,0.0,17230.890000000007,0
409,63.0,440.74,46.0,15677.49,1
410,33.0,220.24,15.0,6547.660000000002,0
411,1.0,1.78,38.0,20171.209999999995,0
412,89.0,716.92,22.0,29139.66,1
413,67.0,424.20000000000016,37.0,31466.890000000007,1
414,9.0,85.77000000000002,1.0,1600.29,0
415,62.0,462.41,143.0,16369.410000000002,1
416,53.0,374.43,31.0,15505.15,0
417,74.0,539.5099999999999,27.0,7732.230000000001,1
418,15.0,96.36,3.0,2827.2900000000004,0
419,91.0,686.38,62.0,20499.92,0
420,67.0,505.2,25.0,16225.71,0
421,78.0,483.22,28.0,9210.4,1
422,120.0,694.9000000000003,0.0,21547.26,1
423,91.0,599.4899999999998,40.0,28356.320000000003,1
424,117.0,732.15,25.0,32503.74,0
425,91.0,605.7499999999999,36.0,9388.430000000002,0
426,36.0,198.95999999999992,32.0,21596.86,0
427,80.0,588.9799999999998,2.0,21673.459999999995,0
428,77.0,483.57999999999987,68.0,13806.440000000004,0
429,42.0,350.7399999999999,21.0,20296.630000000005,0
430,136.0,926.2099999999997,0.0,35948.16000000002,1
431,9.0,69.35000000000002,3.0,372.56,0
432,54.0,355.47,22.0,11696.300000000005,0
433,54.0,424.61,66.0,22395.619999999995,0
434,33.0,265.17,59.0,17398.020000000004,0
435,94.0,649.9199999999997,32.0,18341.97000000001,0
436,91.0,598.6400000000001,33.0,28524.789999999994,1
437,71.0,501.9399999999998,33.0,16853.730000000003,0
438,79.0,533.9500000000002,46.0,24959.09,0
439,52.0,342.1,4.0,17785.850000000002,0
440,71.0,445.04,29.0,10051.920000000004,0
441,83.0,521.4500000000002,45.0,10776.55,0
442,33.0,286.42,12.0,4515.440000000001,0
443,61.0,435.68000000000006,0.0,23089.73,0
444,69.0,437.91,56.0,18723.159999999996,0
445,88.0,706.77,0.0,25104.67,1
446,93.0,680.5900000000003,70.0,16376.46,1
447,111.0,756.6199999999997,43.0,30135.27,0
448,6.0,39.2,12.0,14792.060000000005,0
449,115.0,849.21,52.0,22433.77,1
450,7.0,48.39,16.0,4016.9400000000014,1
451,90.0,646.3100000000002,51.0,22061.76,1
452,26.0,198.05,19.0,11336.44,0
453,66.0,492.54,15.0,22247.070000000003,0
454,91.0,587.5799999999998,27.0,19701.36,0
455,37.0,225.46000000000004,40.0,23909.47,1
456,76.0,593.7700000000002,0.0,11311.21,1
457,99.0,642.8100000000002,45.0,10187.06,1
458,63.0,368.31,32.0,14986.58,0
459,4.0,27.050000000000004,39.0,7382.23,1
460,113.0,817.3700000000003,91.0,28505.879999999994,1
461,176.0,1167.7899999999995,48.0,32441.14,1
462,85.0,540.1999999999998,57.0,17836.840000000007,1
463,34.0,247.29,77.0,11925.400000000005,0
464,87.0,586.9799999999998,56.0,13389.110000000004,0
465,43.0,325.0399999999999,58.0,14756.48,1
466,71.0,408.79000000000013,70.0,22576.01,0
467,11.0,84.02000000000002,13.0,6226.93,0
468,41.0,289.32000000000005,51.0,17006.249999999996,0
469,94.0,593.8,79.0,28244.59,1
470,55.0,392.47000000000014,89.0,20475.900000000005,0
471,89.0,528.61,53.0,16019.28,0
472,99.0,710.2000000000003,64.0,23674.04,0
473,49.0,345.73,44.0,7879.679999999998,0
474,48.0,395.70999999999987,118.0,12491.750000000005,1
475,36.0,234.23999999999995,0.0,34315.22999999999,1
476,52.0,378.36,25.0,22201.2,1
477,47.0,322.44000000000005,11.0,11420.070000000005,0
478,32.0,322.09,0.0,19207.439999999995,0
479,49.0,356.15,26.0,23139.56999999999,1
480,56.0,359.52000000000015,0.0,16199.160000000007,0
481,158.0,1168.0600000000004,103.0,20018.79,1
482,160.0,1084.0500000000004,95.0,36843.92000000001,1
483,77.0,593.4499999999998,0.0,20770.04,0
484,0.0,0.0,191.0,32448.019999999997,1
485,88.0,640.6300000000002,27.0,21251.05,0
486,107.0,653.6999999999998,94.0,15584.229999999998,1
487,33.0,242.8400000000001,48.0,25740.709999999992,0
488,54.0,341.12,0.0,15521.640000000005,0
489,53.0,341.14,64.0,14442.639999999998,0
490,56.0,334.29,82.0,21969.01,0
491,79.0,595.66,30.0,23219.679999999997,0
492,164.0,1090.24,137.0,21247.07,1
493,31.0,210.44,19.0,27437.42999999999,0
494,66.0,476.08000000000015,25.0,18329.03,0
495,66.0,475.83,0.0,18902.98,0
496,96.0,597.8000000000002,45.0,13214.8,0
497,36.0,239.79,0.0,14611.030000000002,0
498,78.0,512.2300000000001,79.0,13758.549999999996,0
499,48.0,305.57,35.0,9183.85,0
500,52.0,313.56000000000006,40.0,19024.15,0
501,76.0,502.55000000000007,0.0,7598.25,1
502,68.0,495.55000000000007,101.0,15385.73,0
503,118.0,726.1300000000003,27.0,22022.28000000001,1
504,59.0,437.48999999999984,23.0,6037.690000000001,0
505,169.0,1111.51,53.0,27728.78000000001,1
506,46.0,338.5999999999999,35.0,11428.54,0
507,4.0,22.31,7.0,4159.19,0
508,129.0,909.6500000000003,79.0,38939.12,1
509,69.0,460.05999999999983,0.0,27802.78,0
510,83.0,597.8299999999998,0.0,16273.020000000004,0
511,32.0,182.45,13.0,16552.760000000002,0
512,118.0,796.3199999999998,3.0,17905.670000000002,1
513,72.0,535.5599999999998,47.0,21684.879999999994,0
514,76.0,510.55,43.0,17208.459999999995,0
515,22.0,142.17,30.0,8035.070000000002,0
516,53.0,385.59,63.0,16987.839999999997,0
517,36.0,229.49,0.0,5579.28,1
518,69.0,506.55,85.0,12625.78,0
519,22.0,131.53,5.0,4877.940000000001,0
520,90.0,564.83,61.0,24365.44000000001,1
521,39.0,310.55000000000007,14.0,14709.320000000003,0
522,79.0,565.3000000000002,82.0,18082.45,0
523,102.0,658.4100000000002,23.0,21392.679999999997,0
524,33.0,281.7700000000001,75.0,13933.009999999998,1
525,75.0,535.72,30.0,9892.159999999998,1
526,26.0,194.24,31.0,11663.69,0
527,67.0,458.14,24.0,22320.919999999995,0
528,58.0,348.4899999999999,11.0,18960.550000000007,0
529,105.0,705.0500000000002,18.0,22130.73999999999,1
530,9.0,34.29,95.0,13403.98,1
531,60.0,476.0799999999999,63.0,14328.81,0
532,75.0,496.06,14.0,13850.84,1
533,78.0,475.54999999999984,17.0,20927.160000000007,0
534,88.0,603.5699999999998,86.0,12832.190000000002,0
535,44.0,331.98000000000013,21.0,16617.79,0
536,6.0,33.239999999999995,3.0,690.02,0
537,71.0,576.6200000000001,6.0,14677.770000000004,0
538,48.0,328.54,25.0,13681.410000000005,0
539,71.0,468.07999999999987,12.0,22654.23000000001,0
540,2.0,1.99,0.0,616.65,1
541,152.0,997.3299999999997,82.0,29363.06,1
542,107.0,729.4400000000003,153.0,32990.680000000015,1
543,66.0,432.02,54.0,24008.36,0
544,50.0,447.14,15.0,18239.47000000001,0
545,60.0,466.61,67.0,18507.05,0
546,65.0,458.46,0.0,15214.25,1
547,30.0,169.88000000000005,23.0,24141.48,0
548,69.0,512.2499999999999,25.0,11084.53,0
549,81.0,560.6800000000002,21.0,16369.73,0
550,100.0,693.2099999999998,49.0,5451.259999999998,1
